명칭,우편번호,관리자,전화번호,주소,위도,경도,개요, 유산구분,문의 및 안내,개장일,쉬는날,체험안내,체험가능연령,수용인원,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
녹동서원,42940,,,대구광역시 달성군 우록길 218 녹동서원,35.7231430831,128.6461261798,"1789년(정조 13) 지역 유림에서 유교적 문물과 예의를 중시하였던 김충선의 뜻을 기려 건립하였다. 이후 1868년(고종 5) 흥선대원군의 서원철폐령에 따라 철거되었다가 1885년 다시 지었고 1971년 현재의 위치로 이건하였다. 경내에는 사당인 녹동사(鹿洞祠)와 향양문, 유적비, 신도비 등이 있으며 해마다 3월에 제사를 지낸다. 김충선은 임진왜란 당시 가토 기요마사[加藤淸正] 휘하의 좌선봉장으로 참전하였다가 조선에 귀순하였다. 이후 조총제작 기술을 전수하고 경주, 울산 전투에서 공을 세워 조정으로부터 김충선이라는 성과 이름을 하사받았다. 이후 이괄의 난과 병자호란 당시에도 큰 역할을 하였으며 말년에는 낙향하여 향리교화에 힘썼다. <br>",,053-767-5790,,설/추석연휴,"향사례(享祀禮)(분정례(分定禮), 진설(陳設), 향사례(享祀禮)[초헌례(初獻禮), 아헌례(亞獻禮), 종헌례(終獻禮), 음복례(飮福禮), 망예(望瘞)], 음복개좌(飮福開座) 등)",,,,"하절기(3~9월) 10:00~18:00<br />
동절기(10~2월) 10:00~17:00",주차 가능,불가,불가,,"이용가능시설:[충절관]<br />
후손과 그를 추모하는 일본인, 그리고 대구시의 후원금 등으로 건립된 충절관에는 임진란 때 사용되었던 조총을 비롯하여 모하당 선생의 유품, 유물과 한일 양국의 역사문화, 임진란 관계 전문도서 등을 전시하고있다.
입 장 료:무료
화장실:있음
"
수성못 유원지,42202,,,대구광역시 수성구 용학로 35-5,35.8268418577,128.6128734507,"수성유원지는 범물동 용지봉(629ｍ)에서 북서부로 뻗어 내린 줄기의 하부에 위치하여 주변의 완만한 산지와 수성못을 끼고 자연의 경관미를 이루고 있다. 1925년에 조성된 수성못을 중심으로 형성되었으며 저수량도 70만에 달하고 21만 8000㎡의 면적에 못 둘레도 2,020m에 이른다. 수성못은 1925년 일제강점기에 농업용수 공급용으로 조성된 인공 못이었다. 지금은 수변 휴식공간으로 활용되어 연중 풍부한 수량을 자랑하고있다. 수성못 주변에는 벤치와 수목, 산책로 유람선 선착장, 우주선, 유람선, 바이킹, 범버카, 회전목마 등의 놀이시설을 갖춘 수성랜드가  어우러져 유원지를 형성하고 있다. 보트놀이와 오리배 등을 즐길 수 있는 수성못과 어린이 놀이터, 두산폭포 등 볼거리, 즐길거리가 있어 가족나들이와 연인들의 데이트 코스로 적격이다. 2007년 9월 설치된 영상음악분수는 5월부터 10월까지 매일 4회에 주간, 야간 공연을 하며 이색적인 볼거리를 제공한다.<br>",,"053-666-2863<br/>
수성못 관광안내소 053-761-0645",,연중무휴,,전연령,,,00:00~24:00,주차가능,없음,없음,,"이용가능시설:- 수성못, 오리배&유람선, 수변데크로드, 포켓무대, 관광안내소 북카페, 상화동산, 시문학거리, 들안길 시화거리, 영상음악분수, 아르떼 수성랜드, 수성파크랜드<br />
<br />
※ 기상여건 및 사정에따라 이용불가시설 있음
화장실:있음
"
운암지 수변공원,41472,,,대구광역시 북구 구암동(구암동),35.9321207938,128.5689355019,"북구 8경 중 제3경으로 함지산으로 둘러있어 주변 자연경관이 뛰어난 곳이다. 칠곡3지구 택지개발로 이용가치가 없어진 저수지를 자연 그대로 보전하면서 주변환경과 조화를 이루도록 환경 친화적으로 조경을 하였다. 공원내부에는 분수, 수변무대, 산책로, 놀이시설, 계류, 체육시설, 파고라, 정자 등을 갖추고 있어 칠곡지역 주민들로부터 많은 사랑을 받고 있다. 데크시설도 확장하고 생활공원과 유아숲체험원을 잇따라 개장해서 더욱 나들이 명소로 각광 받고 있다.",,053-665-4301,1998년 4월 24일,연중무휴,,,,,,,없음,없음,,"화장실:있음
이용가능시설:* 광장시설 : 휴게광장, 수변광장 <br />
* 수변시설 : 수변무대, 수변데크, 생태학습원<br />
* 유희시설 : 잔디동산, 놀이시설(조합놀이대 1개소),체련단련시설, 
산책로<br />
* 수경시설 : 고사분수, 계류<br />
* 휴게시설 : 사각정자 2개소
"
파계사,41001,,,대구광역시 동구 파계로 741(중대동),36.0014476023,128.6410244261,"* 영조의 출생 설화가 전해지는 사찰, 파계사 *
804년(애장왕 5) 심지(心地)가 창건하고, 1605년(선조 38) 계관(戒寬)이 중창하였으며, 1695년(숙종 21) 현응(玄應)이 삼창하였다. 이 절에는 영조(英祖)의 출생과 관계되는 설화가 전해지고 있다. 숙종의 부탁을 받은 현응은 농산(聾山)과 함께 백일기도를 하였고, 기도가 끝나는 날 농산이 숙빈(淑嬪) 최씨에게 현몽하였으며, 이렇게 태어난 아들이 후일의 영조였다는 것이다. 숙종은 이에 대한 보답으로 파계사 주변 40리 이내의 조세(租稅)를 받아 쓰라고 하였으나 현응은 이를 거절하고 선대의 위패를 모시기를 청하였다. 이는 지방 유림(儒林)의 행패를 막으려는 것이었다. 1979년 관음보살상을 개금할 때 불상에서 나온 영조의 어의(御衣)는 이 설화의 신빙성을 더해 주는 것이었다. 이곳은 동화사와 더불어 대구 지방의 유명한 풍치지구이며, 조계종 제9교구의 본산인 동화사의 말사로서 불상, 석등, 석불, 영조대왕의 어의가 보관되어 있다. 영산회상도는 구도나 형식에서 특색을 갖추고 있고 필법과 채색 또한 품격을 지닌 뛰어난 작품으로 18세기초를 대표하는 불화 가운데 하나로 꼽힌다.

* 파계사의 주요문화재 *
[산령각] 
산신각이라고 하기도 한다. 산신각은 산신을 봉안한 건물로 우리나라 사찰 특유의 전각 가운데 하나로 우리나라 불교의 토착화 과정을 짐작게 하는 좋은 증거가 된다. 산신은 원래 불교와 관계가 없는 토착신이나 불교의 재래신앙에 대한 수용력에 의하여 사찰내에 봉안되게 되었다. 산신신앙은 우리나라 특유의 산악숭배신앙과 관련이 깊지만 조선시대 이후 차츰 나타나기 시작한다. 그러나 이 신앙은 불교 본연의 것이 아니라 하여 전(殿)이라 하지 않고 반드시 각(閣)이라는 명칭을 붙이고 있다.
[설선당] 
설선당은 강당으로 사용하던 건물로, 원통전을 중심으로 적묵당과 마주하고 있다. 1623년(인조 1) 계관법사에 의해 창건되어 두차례(1646, 1725)에 걸쳐 중건하였고 1762년 지붕을 다시 잇는 공사를 시행한 후 1976년에는 대대적인 보수공사가 있었다. 이 건물은 대중식당과 강습소로 사용되고 있으며, 구조양식과 가구 수법 등이 간결하면서도 견실한 모습을 보여주고 있다.
[기영각]
기영각은 영조대왕을 위해 기도한다는 뜻으로 이름한 전각이다. 1696년(숙종 35) 현응조사가 성전암(성전암)과 더불어 건립하였다고 전해지며 1974년과 1983년의 두 번에 걸친 보수공사가 있었다. 건물은 화강석 바른층쌓기 기단위에 건립된 정면 3칸. 후면 2칸 규모의 겹처마 팔작지붕이다. 구조양식은 덤벙초석 위에 원주를 세우고 주상에 주두와 함께 앙서와 수서를 장식한 외일출목 주심포계양식을 보이고 있으며 주두와 장식이 번잡하게 발달한 조선후기 공포양식을 보여주는 좋은 예라 하겠다. 상부가구는 5량가이나 우물천장으로 가리어져 있다.
[적묵당] 
'적묵당(寂默堂)'이란 눈을 감고 조용히 명상을 한다는 불교용어인 적묵(寂默)에서 따온 것으로 설선당과 마주보고 있는 'ㄱ'자형의 건물로 소박한 조선후기 건축양식을 보여주고 있다.
[진동루] 
파계사 원통전 앞에 있는 누각으로 1715년(숙종 41)에 창건되었다고 전해진다. 이곳은 원래 물의 줄기가 아홉갈래고 흩어져 있다하여 물길을 다시 모은다는 의미로 파계사라 이름하였다 하며, 진동루는 파계라는 이름만으로는 이 곳의 기를 제압할 수 없어 기를 진압한다는 의미로 이름하였다 한다. 정면 5칸, 측면 3칸 규모의 2층으로 가공하지 않은 방형의 주춧돌 위에 둥근 기둥을 세우고 팔작지붕을 하고 있다. 아래층 어칸을 통로로 하고 측간의 뒷부분을 창고로 사용하고 있으며, 2층에는 통간 우물마루를 했다. 건물의 규모에 비해 부재가 다소 약한 감이 있다. 천장은 연등천장이며, 문은 모두 미닫이 유리문을 달아 어색한 면이 있으나 익공 등에서 볼 때 조선시대 중·후기 양식에 어울리는 특징을 보이고 있다.
[원통전] 
원통전은 일반적으로 관음전(觀音殿)이라고 하며, 관세음보살(觀世音普薩)을 주불로 봉안하는 불전을 말한다. 파계사는 중심전각인 원통전을 중심으로 좌우에 설선당, 적묵당 그리고 앞에는 진동루 등이 위치하여 전체적으로 口자형을 이루고 있다. 임진왜란으로 소실되었다가 1605년(선조 38) 계관법사가 중건하고, 1695년(숙종 21)에 현응조사때 삼창하여 오늘에 이르렀다. 건축양식은 정면 3칸·측면 3칸의 맞배지붕으로 가구식 기단 위에 자연석 주춧돌을 놓은 후 둥근기둥을 올리고 있다. 법당 내부의 불단은 은해사(銀海寺) 백흥암(百興庵)의 수미단(須彌壇)과 같은 형태로 정교하게 무늬를 새겨넣어 관음보살상을 모시고 있다. 불단의 상부에는 보개(寶盖)를 설치하고 있다. 원통전 앞에는 좌우 양쪽에 당간지주와 석등이 배치되어 있다. 수미단(須彌壇)은 사찰의 법당 등에 설치하는 수미산(須彌山) 형상의 단. 수미산은 불교의 우주관에서 나온 상상의 산으로 세계의 중심에 있다고 한다.
[대구파계사건칠관음보살좌상및복장유물] 
파계사의 주전인 원통전의 주존불이다. 고려후기 불상양식으로 삼중의 높은 보관과 통견의를 걸치고 있으며 온몸에 장엄하고 복잡한 영락을 표현, 전체적으로 둔중한 느낌을 가지고있다. 이 불상이 차지하는 큰 의의는 1979년 개금불사 때 복장(腹裝)되어 있던 영조대왕의 어의(御依)와 어의를 복장하게 된 경위와 불상의 건립 년대를 밝힐 수 있는 중요한 자료인 발원문을 발견하여 불상이 조성된 것이 최소 1448년 이전이라는 것과 불상 조각의 변천과 유사 불상의 편년을 가늠할 수 있게 된 점이라 할 수 있다.
[파계사 석조부도]
파계사 입구 오른쪽에 석축을 쌓아 조성(2기)되어 있다. 좌측부도는 절충장군 가선대부 보광당 전명대사지탑(1651년 효종2)으로 사각의 대석위에 6각의 석조를 놓고 2중으로 조각된 앙련좌 위에 부도가 설치되어 있다. 우측부도는 회진당원의대사지탑(1648년(인조26)으로 6각의 대석위에 연화문을 조각, 그 위에 일석으로 된 앙련과 부련이 있고 그 위에 부도를 설치하였다.
[팔공산파계사사적비]
파계사 사적비명이라 하여 파계사의 사적을 기록하고 있다. 신라 애장왕(800-808)때 심지왕사가 창건했으나 임진왜란으로 회진된 것을 1605년(선조 38년) 계관법사가 원통전을 시작으로 설선당 등을 중건하였다고 한다. 또한 파계사 삼병조사(三甁組師)인 현응대사의 이야기가 기록되어 있다. 1693년(숙종 19년) 10월 5일 밤에 숙종의 꿈속에 현응이 나타났다고 한다. 이에 왕이 현응대사에게 왕자 낳기를 부탁하는데 수락산(水絡山) 성전에서 100일 기도 끝에 이듬해 원자가 탄생하니 이가 후일의 영조이다. 숙종은 이에 대한 보답으로 파계사를 영조의 생전·사후의 복을 기원하는 축원당(祝願堂)으로 삼았다. 또한, 절 입구에 「대소인개하마비(大小人皆下馬碑)」를 세워 왕실 원당에 감히 말을 타고 들어오지 못하게 하였을 뿐만 아니라, 양반과 관료들로부터의 착취와 사역도 면하게 해주었다.",,053-984-4550,,연중무휴,,,,,,가능,없음,불가,,"주차요금:2,000원
화장실:있음
한국어 안내서비스:파계사 입구에 문화해설사가 상주해 있어 안내를 받을 수 있다.
"
첨모재·사효당,42815,,,대구광역시 달서구 월곡로26길 17-39,35.8089621662,128.5499294890,밀양 손씨(密陽 孫氏) 호군(護軍) 손경방(孫敬邦)을 추모하는 재사(齋舍)와 인재(仁齋) 손경규(孫景奎)의 부병(父病)에 작지주혈(斫指注血)하는 등의 효(孝)를 기리기 위한 사효당(思孝堂)이다. 이 두 곳은 밀양 손씨 문중(門中)에서 관리하고 있다.<br>,,053-667-2194,,,,,,,,,없음,없음,,
백련사(대구),42817,,,대구광역시 달서구 중흥로 67(송현동),35.8288628564,128.5588698165,"1947년 3월 10일, 수원 백씨(백남희 보살님)가 친정부모님 무덤 옆에 절을 지으면 많은 중생을 구도할 수 있다는 선몽을 받고 건립하였다. 1986년 3월 15일 황정광 주지스님이 증축하였다. 재단법인 선학원 소속이다.<br>",,053-653-4324,,,,,,,,,없음,없음,,
진밭골산림공원,42240,,,대구광역시 수성구 진밭길 413(범물동),35.8143773377,128.6528258365,"접근성이 좋고 쾌적한 공간이다. 산림공원과 연계된 순환형 산책로가 있다. 힐링 숲, 명상의 숲 등 테마 숲이 조성되어 있으며 봄꽃인 철쭉류를 집중해서 심어 봄철 명소가 되도록 조성했다.",,053-666-2806,,,,,,,제한없음,,없음,없음,,
큰장길 침구류 명물거리,41812,,,대구광역시 서구 큰장로 35(내당동),35.8633925561,128.5737980982,"큰장길 침구류 명물거리는 서문시장 인근 70여 개 이불, 베게, 수예 제품 취급업체가 밀집된 전국 최대 규모의 침장 도소매점 거리이다. 이곳은 약 30년 전부터 침구류 도소매점이 하나씩 생겨 거리가 형성되었다. 또한 서문시장은 조선중기부터 형성된 시장으로 전국 3대 장터 중 한 곳이었으며 지금도 그 명맥을 이어받아 대구 제일의 시장으로 자리 잡고 있다. 최근에는 야시장이 개장하여 더 많은 볼거리와 먹거리를 제공하고 있는 시장이다. 대구의 침장제조업체는 전국의 27%가량 (578개사)으로 OEM을 포함하면 전국에 유통되는 침구제품의 50~60%가 대구에서 생산되고 있으며, 그 중심에 있는 큰장길 침구류 명물거리는 시민들에게 고품질의 침장제품을합리적인 가격에 판매, 또한 전국 각지로 제품을 활발히 공급하고 있다. 서문시장과 대구근대화거리, 동성로 등 문화·쇼핑거리와도 밀접한 위치에 있어 편리하게 접근할 수 있는 곳 이다.<br>",,,,,,,,,,,없음,없음,,
감삼못공원,41856,,,대구광역시 서구 서대구로3길 43(내당동),35.8586426972,128.5522334637,"면적 1만 6,332㎡의 작은 공원으로  공원 근처에 달성고등학교, 경운중학교, 두류공원 등이 있다. 공원에는 6면의 코트를 갖춘  테니스장이 있고, 산책로와 갖가지 체력단련기구, 벤치, 파고라, 음수대 등의 시설이 설치되어 있다. 공원 안에  노인복지시설이 있고, 공원 앞에는 사랑과 행복을 더불어 나누는 노인무료급식센터 ""나눔터"" 있어 주로 노인들이 공원을 많이 이용하는 편이다. 공원에서는 음악회·알뜰시장·주민노래자랑·효도잔치 등의 행사도 자주 열린다.<br>",,053-663-2867,,,,,,,,,불가,없음,,"화장실:있음
이용가능시설:테니스장, 노인정, 분수, 놀이터, 정자, 파고라, 벤치, 음수대
"
상리공원,41755,,,대구광역시 서구 중리동 산198-3,35.8632417772,128.5305074724,"상리공원은  7만3천여평 규모의 공원으로  입구에 들어서면  넓은 광장(4900㎡)과 파란 잔디밭(4175㎡)이 보이며 가족공원으로 제격이다. 넓은 광장에서는 롤러브레이드와 롤러스케이트, 자전거 타기를 즐기는 어린아이들과 청소년들로 항상 북적되고 또 공원 입구 오른쪽 운동장에서는 축구나 족구를 즐기는 사람들이 많다. 조용하고 한적한 분위기의 상리공원은 젊은 연인들이나 가족들이 편안한 피크닉을 즐기기에 좋은 공원이다.
공원 여기저기에 철봉 등의 간단한 체육시설과 산책로가 있어  운동을 즐기는 시민들도 많이 있다. 따가운 햇살을 피할 수 있는 파고라와벤치도 곳곳에 마련되어 있다.<br>",,053-663-2856,,연중개방,,,,,00:00~24:00,주차가능,불가,없음,,"이용가능시설:광장, 배드민턴장, 게이트볼장, 정자, 파고라, 벤치 등
화장실:있음
"
