명칭,우편번호,관리자,전화번호,주소,위도,경도,개요, 유산구분,문의 및 안내,개장일,쉬는날,체험안내,체험가능연령,수용인원,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
육신사,42900,,,대구광역시 달성군 하빈면 육신사길 64,35.9113509020,128.4166106288,"육신사는 삼촌에게 왕권을 빼앗긴 어린 왕 ‘단종’의 복위를 꾀하려다 숨진 사육신으로 일컫는 조선 세조 때의 박팽년, 성삼문, 이개, 유성원, 하위지, 유응부 등의 위패를 모신 사당이다.취금헌 박팽년(醉琴軒 朴彭年) 선생만을 그 후손들이 모셔 제사를 지냈으나 선생의 현손(玄孫)인 박계창이 선생의 기일에 여섯 어른이 사당 문 밖에서 서성거리는 꿈을 꾼 후 나머지 5위의 향사도 함께 지내게 되었다. 그 뒤 하빈사(河濱祠)를 지어 제사를 지내다가, 숙종 20년(1694년) 낙빈(洛濱)이란 현액을 하사받아 사액서원이 되었다. 고종 3년(1866년) 흥선대원군의 서원 철페령으로 낙빈사가 서원(書院)과 함께 철거되었으며, 1924년 낙빈서원이 재건되면서 위패를 다시 봉안하게 되었다.<br /><br /> 이후 1974년부터 1975년 사이에 ‘충효 위인 유적정화사업’에 의해 현재의 위치에 육신사로 이름을 붙여 사당을 재건하였고, 2003년부터 2011년에 걸쳐 충절문을 세우고 전통가옥을 복원하였다.사우건물인 숭정사에는 육신과 더불어 박팽년의 부친인 중림(仲林, ?~1456년)의 위패도 함께 봉안되어 있으며 정면 5칸, 측면 3칸의 규모에 겹처마 팔작지붕으로 되어 있어 웅장한 느낌을 준다. 경내에는 이외에도 정면 5칸 측면 1칸 반 규모의 홑처마 팔작지붕인 숭절당, 태고정(보물), 외삼문, 내삼문, 홍살문, 삼층각 등이 있고 사당 앞에는 사육신의 행적을 기록한 육각비(1979년 건립)가 세워져 있다.<br>",,053-668-3162,,,,,,,,주차 가능,없음,불가,,"화장실:있음
"
대구 도동 측백나무 숲,41017,,,대구광역시 동구 도평로(도동),35.9182241168,128.6635775484,"도동 측백나무 숲은 해방 이후 1962년 12월 7일 대한민국 천연기념물로 재지정 되었다. 측백나무는 단양, 울진, 안동 등에 분포하고 있으나 도동 측백나무 숲은 측백나무의 남방 한계선인 대구에 군락을 이루고 있는 점, 불로천 하식애 면에서 자생하는 점 등에서 식물지리학 및 생태학적으로 가치를 높이 평가 받고 있다. 현재 도동 측백나무 숲은 국가지정 문화재로 지정되어 출입 제한구역으로 설정되어 있다. 도동 측백나무 숲의 특성을 살려 2016년 국토부 도시활력증진지역 개발사업 '천연기념물 ONE 도동문화마을 조성사업'이 선정되어 사업의 일환으로 측백향 커뮤니티센터를 조성하여 1층은 로컬푸드 판매장과 마을 회의실, 2층은 측백향 카페와 천연기념물 홍보관을 운영하고 있다.<br>",,053-985-6406,,,,,,,,,없음,없음,,
대구부수성비,42064,,,대구광역시 수성구 팔현길 248,35.8753566453,128.6580042373,"조선 고종 때 경상도관찰사 겸 대구도호부사였던 김세호(金世鎬)가 대구부성을 대대적으로 보수한 뒤, 그 기념으로 세운 비이다. 대구부성은 영조 때 경상관찰사 민응수가 외적의 침입을 막기 위해 쌓았는데 그 후 성이 훼손되어도 제대로 보수가 이루어지지 않던 것을 김세호가 수리한 것이다. 누각의 이름은 동을 정해루(定海樓), 서를 주승루(籌勝樓), 남을 선은루(宣恩樓), 북을 망경루(望京樓)라 하였다고 한다. 비는 네모난 받침돌 위에 비몸을 세우고 지붕돌을 올린 모습이다.<br /><br />비문의 내용은 1870년(고종 7) 봄에 수리를 시작하여 그 해 11월에 마쳤는데, 원래 보다 높이와 크기를 키워서 동서남북의 성벽(城壁) 위에 새로이 4개의 누각(樓閣)을 세웠다는 공사에 관한 내용과, 유공자에게 상을 내린 일이 적혀 있다. 고종 6년(1869)에 세운 비로, 관찰사 김세호가 직접 비문을 짓고, 당시 공사 책임관이었던 절충장군(折衝將軍) 최석로(崔錫魯)가 글씨를 썼다. 이 비는 본디 남문 밖에 세워진 것이었으나, 광무 10년(1906) 대구부성이 헐리면서 갈 곳을 잃었다가 1932년 대구향교 경내로 옮겨졌고, 1980년 영남 제1관문을 고쳐 세우면서 현재의 자리로 옮겨왔다.<br>",,053-666-2161,,,,,,,,,없음,없음,,
소계정,42977,,,대구광역시 달성군 옥포면 옥포로57길 25-14,35.7703404672,128.4917190155,이 건물은 향리에서 후학 양성에 힘쓴 소계 청주 석 재준의 제자들이 1923년에 건립하여 선생의 호를 따서 소계정이라 하였다. 충주석씨 석 린의 11세손인 인산 석 언우의 은덕을 기리기 위하여 건립한 사당인데 서 건수가 기문을 찬하였다.<br>,,053-668-3162,,,,,,,,,없음,없음,,
도곡재,42900,,,대구광역시 달성군 하빈면 육신사길 60,35.9104871104,128.4165551022,"조선 정조 2년(1778) 대사성인 서정공 박 문현이 제택으로 건립한 건물이나, 1800년대에 와서 도곡 박 종우의 재실로 사용하면서 그의 호를 따 도곡재라 이름하였다.<br>",,053-668-3162,,,,,,,,,없음,없음,,
공항교강변공원,41521,,,대구광역시 북구 복현동,35.9012142369,128.6259646705,"금호강변 둔치를 이용해 만든 강변공원으로 우거진 풀을 따라 자연을 호흠하며 산책하기에 좋다. 저녁 밤공기를 마시면 산책하기에도 좋으며, 자전거길도 조성되어 있으므로 자전거 라이딩도 할 수 있다.<br>",,대구시청 053-803-0114,,,,,,,,,없음,없음,,
영영축성비,42064,,,대구광역시 수성구 팔현길 248(만촌동),35.8749566914,128.6580570212,"영영축성비는 영조 12년(1736) 경상도 관찰사 겸 대구 도호부사인 민응수가 임진왜란 때 허물어진 대구토성을 돌로 다시 쌓은 후 이를 기념하고자 세운 비이다. 비는 직사각형으로, 바닥돌 위에 비몸을 세운 모습이다. 비문에 의하면 성의 둘레는 2,145보(步)이며, 네 개의 문을 만들고 성을 지키기 위한 군량, 전포 등을 갖춘 창고를 두었다. 석성의 공사기간은 6개월이며, 동원된 인원은 78,534명에 달한다. 성이 완성된 뒤에는 여러 장사들을 모아 활쏘기대회를 열어 상을 주었다 한다. 민응수가 비문을 짓고, 백상휘가 글씨를 썼으며 경상도 관찰사였던 민응수가 나라에 건의하여 영조 13년(1737) 대구 남문 밖 관덕정 터에 세워두었다. 그러나 광무 10년(1906) 대구 군수 박중양이 대구 읍성을 헐면서 달성 군청 부근으로 옮겨졌으며, 1932년 대구향교로 이전하여 보존되다가 1980년 지금의 자리로 옮겨 놓았다.<br>",,053-666-4923,,,,,,,,,없음,없음,,
이공제비 및 군수이후범선영세불망비,42159,,,대구광역시 수성구 신천동로 117(상동),35.8356129735,128.6067181933,"한 채의 비각 안에 나란히 서 있는 3기의 비로 왼쪽에 있는 이공제비는 대구판관을 지낸 이서 선생의 치적을 기리기 위해 대구 주민들이 세운 송덕비(頌德碑)이다. 당시 대구는 하천이 중심부로 흘러 홍수 때마다 피해가 극심하였다. 조선 정조 즉위년(1776) 대구판관으로 부임해온 이서 선생은 주민들의 피해를 염려해 정조2년(1778) 자신의 재산을 털어 10여리에 걸쳐 제방을 쌓아 물길을 돌려 홍수의 피해를 막았다. 홍수의 피해에서 벗어난 주민들은 물길을 돌려 새로 만든 냇물을 ‘신천 ’이라 부르고, 제방의 명칭도 ‘이공제 ’라 한 후 정조 21년(1797)에 이공제비를 세우고 매년 1월 14일에  그를 기리고자 향사를 올렸다. 중앙의 비는 1986년  신천대로 공사 때 수성교 서쪽 제방에 있던 것으로 여러 차례 장소를 옮겼다가 이곳에 자리를 잡았다.<br /><br />1808년(순조 8)에 세운 것으로, 이공제비가 초라해 이서 선생의 업적을 영구히 기리고자 다시 비를 세운다고 적혀 있다. 오른쪽에 서 있는 ‘군수이후범선영세불망비 ’는 광무 3년(1899)에 세운 비로, 고종 때 대구수령으로 있던 이범선의 공적을 기리고 있다. 1898년 큰 홍수가 일어나 이공제의 하류부분이 훼손되어 대구읍성이 위험하게 되자, 이범선이 주민 부담없이 국고로 수천금의 비용을 들여  빠른 기간에 보수공사를 완성하여 주민들의 근심을 덜어주었다. 이에 보답하고자  이곳 주민들이 비를 세워 이공제비와 함께 보호하고 있다.3기 모두 대구지방 수령을 지냈던 이들의 업적을 기리고자 주민들이 나서서 세운 것으로, 이들이 오늘날의 대구를 이루게 한 사람들이라는데 큰 의의를 지닌다.<br>",,031-228-4416,,,,,,,,,없음,없음,,
대구 고모령비,41179,,,대구광역시 동구 효목동,35.8773591657,128.6563571036,"지금은 경부선 때문에 산은 잘렸고 망우공원에서 파크호텔 팔현부락을 거쳐 고모역으로 이어지는 옛 고갯길이 이어져 있다. 이 곳에 가면 '비내리는 고모령'의 노래비가 있으며, 노래비 뒤면에는 노래비를 세운 사연이 적혀있다.<br /><br />* 고모령에 얽힌 전설 *<br /><br />옛날 고모령에는 남편 없이 어린 남매를 키우는 홀어머니가 있었다. 하루는 스님 한 분이 와서 ""이 집은 전생에 덕을 쌓지 않았기 때문에 지금 가난하다""라고 하여 어머니와 어린남매는 덕을 쌓기 위해 흙으로 산을 쌓게 되었는데, 그 산은 현재의 모봉, 형봉, 제봉 이라는 3개의 산봉우리가 되었다. 동생과 형이 서로 높이 쌓고자 시샘을 하여 싸우는 것을 보고 어머니는 크게 실망하여 자식들을 잘못 키웠다는 죄스러움으로 집을 나와 버렸다. 집을 나와 하염없이 걷던 길이 지금의 고모령이며, 정상에 와서 집을 향해 뒤돌아 봤는데 그 이름이 뒤돌아 볼 고(顧) 어미 모(母)를 합쳐 고모라는 마을 이름도 이 곳에서 나왔다고 한다.<br>",,053-666-4922,,,,,,,,,없음,없음,,
연암서당골,41533,,,대구광역시 북구 연암로 180(산격동) 3층 302호,0,0,"연암서당골은 제비바위와 연관된 연암산과 구암서원, 체화당, 산격제일교회 등 많은 문화유산을 품고 있으며 골목길과 비탈길, 골목시장 등 정감 있는 마을로 많은 관광객과 체험객이 방문하는 새로운 관광명소로 자리 잡고 있다. 이들에게 기념이 되고 새로운 희망을 전할 수 있는 관광상품을 개발하여 관광 활성화에 기여하고 있다.<br>",,010-6418-5895,,,,,,,,불가능,없음,없음,,
