명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
"군위장 (3, 8일)",39015,군위시장,054-380-6068,대구광역시 군위군 군위읍 중앙5길 12-8,36.2389498117,128.5668104006,"군위장은 전형적인 농촌의 5일장으로서 각 계절별 농산물을 비롯한 수산물, 축산물, 의류,음식,생필품까지 거래되고 있다. 물론 저가품으로 거래된다. 5일장이 열리는 날이면 군위읍 시가지 버스 정류장에서부터 군위농협까지 400여m의  2차선 도로및 인도가 각종 노점상들로 메워져 발디딜 틈이 없을 정도다. 도로 뒤편에 자리한 장은 3천평 규모의 재래식 시장으로 군위장이 생긴 것은 잘알 수는 없지만 오래전부터 자연발생적으로 생겨났다. 한때 대도시의 백화점등 대규모 호화 상가의 붐 때문에 이 곳의 재래식 농촌시장도  한때 축소되기도 했지만 인근지역 시장들이 폐쇄 되는 바람에 최근 들어서는 오히려 시장의 유동인구 4,000 ~ 5,000명을 웃도는등 군위장이 활기를 띠고 있다.

군위장은 군위에서 생산되는 마늘,오이,고추,배추 등 농산물이 주류를 이루는데 인근지역에서 생산되는 농산물도 집결돼 염가 및 소매로 팔리고 있다.  또한 우시장도 열리고 있고 옹기장수와 대장간도 자리잡고 있다. 인근 야산에서 직접 채취한 약초, 나물을 비롯해 향토음식도 맛볼 수 있다.",054-380-6068,,"계절별농산물, 산채, 돼지, 우시장, 농기구",,"매월 3, 8, 13, 18, 23, 28일(5일장)",,,,,,,없음,없음,없음,,
관문시장,42498,,053-627-2610,대구광역시 남구 대명서7길 24-3(대명동),35.8356342966,128.5580002605,"대구광역시 남구 대명동에 위치하며 대명동 주민들이 이용하는 남구 대명동 최대의 재래시장. 성주, 고령에서 오는 채소, 과일 노점상이 활성화 되어 신선하고 싸게 구입할수 있다. 대명10동 회시장과 인접하고, 대로변에는 막창집들이 크게 활성화 되어있다.",053-627-2610,"대지면적 5,573㎡<br />
점포172개소(노점340여개)","채소류, 과일류 등",,,,,,,,,없음,없음,없음,,
퀸스로드,41843,,,대구광역시 서구 평리로35길 18-17,35.8617144394,128.5450562330,"구) 대구 도축장 자리에 2003년 스트리트형 패션 아울렛 단지로 개점하여, 현재 100여개의 유명 브랜드 업소가 입주해 있다. 쇼핑뿐만 아니라 문화생활을 동시에 즐길 수 있는 복합문화공간으로 유럽풍의 건물과 5천여 평에 이르는 부지에 지하 2층, 지상 3층의 11개 건물로 군집해 있다.<br>",053-552-4800,약 5천여평,"의류, 신발 및 잡화",,,,10:30 ~ 21:00,명절당일,,주차 가능,,없음,없음,가능,화장실 있음,
대구종합유통단지관리공단,41505,,,대구광역시 북구 유통단지로13길 9,35.9082297975,128.6091270699,"국내 최대의 One-Stop 테마상가로 국내 최대 규모인 837,721㎡ 부지에 대구산업의 집약체로 탄생했다. 섬유·의류, 가구, 전자제품, 전기재료, 조명, 산업용품, 기계공구 등 쇼핑의 모든 것을 저렴한 가격에 만날 수 있으며, 각 시설별로 다양한 편의시설과 넉넉한 주차장을 확보하고 있다.",053-381-3690,"837,721㎡","산업용품, 기계공구, 전자, 전기재료, 조명, 섬유, 의류, 가구, 생필품, 철강 등",,,,"산업용재관, 전기조명관, 전기재료관 09:00 ~ 19:00<br />의류관(NC아울렛) 11:00 ~ 21:00<br />섬유제품관 09:00 ~ 20:00<br />전자관 09:30 ~ 20:30<br />전자상가 09:00 ~ 19:00<br />※ 개별업체는 업체마다 다름",섬유제품관/전자관 매월 셋째주 수요일,,주차 가능,,없음,없음,없음,,
스킨푸드동성로점,41937,,,대구광역시 중구 동성로31스킨푸드,35.8695950309,128.5954265754,-,053-423-6259,,향수 및 화장품,,월~일요일,,12:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
롭스_이시아폴리스아울렛점,41026,,,"대구광역시 동구 팔공로49길 16, 1층(봉무동, 롯데쇼핑 이시아폴리스점)",35.9215899181,128.6373908727,-,053-945-2499,,"기념품점,식료품,향수 및 화장품",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
파타고니아_대구칠곡직영점,41451,,,대구 북구 칠곡중앙대로 379 1층,35.9295762447,128.5476207864,-,053-327-3074,,스포츠 용품 및 의류,,월~일요일,,10:30~20:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
나이스클랍_롯데대구이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16(봉무동),35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,신발,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
방천시장,41951,,,대구광역시 중구 달구벌대로446길,35.8621793994,128.6060480689,"대구 도심을 남북으로 통과하는 신천(新川)에 놓인 12개의 다리 중 하나인 수성교 옆에 자리 잡고 있는 재래시장이다. 1945년 광복 후 일본과 만주 등지에서 돌아온 전재민(戰災民)들이 호구지책으로 장사를 시작하면서 생긴 시장으로, 신천제방을 따라 터를 잡았다 하여 방천시장이라 불리기 시작했다. 당시 수성교에서 남쪽으로 방천을 따라 약 500m에 걸쳐 형성되었으며, 상인들이 새끼줄을 이용해 ‘井’자 모양으로 시장을 구획하여 복잡한 시장을 정리하였다 한다. 주로 채소·과일·곡물 등의 식품류와 잡화를 취급한다.",,,식품류 / 잡화류,,,,,,,,,없음,없음,없음,,
청구시장,42049,,,대구광역시 수성구 만촌로 66(만촌동),35.8648464663,128.6441057542,"1980년에 개설된 청구시장은 총 2층의 60개 점포로 구성된 소규모 전통시장이다. 만촌동 단독주택 밀집 지역에 있어 주변 주민들이 많이 이용하고 있다. 
동대구역과 범어동에서 멀지 않아 대구 관광 시 가볍게 들르기 좋고, 먹거리뿐만 아니라 다양한 품목을 저렴한 가격에 쇼핑할 수 있다.",053-803-3881~3886,,"농·수·축산물, 음식점, 공산품 등",,,,06:00~21:00,연중무휴,,없음,,없음,없음,없음,,
