명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
대구 한약재 도매시장,41935,대구 한약재 도매시장,"053-257-0545, 053-252-6234",대구광역시 중구 남성로 51-1,35.8672952342,128.5923741312,"대구약령시는 조선 효종 9년(1658년) 경상감사가 직무하는 감영의 소재지로 집결하는 약재중에 좋은 것은 중앙기관으로 상납하고 그 나머지를 일반일들에게 판매하면서 시작되었다. 대구를 비롯하여 공주와 전주, 원주, 진주, 청주, 충주, 의주등이 유명한 약령시였는데 그 중 제일 오래되고 가장 융성했던 곳이 대구 약령시였다. 1910년까지만 해도 중국, 만주, 일본, 중동지역은 물론 멀리 시베리아에서도 큰 상인들이 한약재를 사기 위해 이 곳으로 몰려들어 대구 약령시는 그야말로 세계적인 한약재물류유통의 거점이 되었다. 대구는 약재의 본산지인 경상도를 배후에 두고있으며 낙동강물로 약재의 운송 또한 수월하여 약령시가 자연스럽게 형성되었다. 조선시대 대구 약령시는 약재 수확기인 봄과 가을, 두 차례에 걸쳐 정기적으로 10∼30일가량 개장 되었는데, 1930년대 후반의 경우 거래물량과 출시인원이 당시 대구 전체의 예산과 인구를 훨씬 능가하였다. 다른지역의 약령시는 이후 모두 쇠퇴하였지만, 대구약령시는 일제의 탄압에도 불구하고 국권회복운동에 관여하는등 민족혼을 발현하면서 끈질긴 생명력을 유지하여 350년의 전통을 꿋꿋이 이어나오고 있다. 한국기네스는 대구약령시를 최고의 약령시로 인증하였다.",053-254-4646,"지하1층, 지상3층<br />
 * 대  지 -   840평<br />
 * 건  물 - 1,043평","한약재, 한약향첩, 한약술 등",,,,점포마다 다름,"월요일, 1월 1일, 명절 (전화문의)",,,,불가,불가,가능,,
대림목공예,41039,대림목공예,053-982-4020,대구광역시 동구 공항로33길 21,35.9029336186,128.6331251029,"대림목공예는 1983년 10월 설립을 하여, 지금까지  오직 목공예 제품만을 생산해왔다. 처음에는 서민적인 멋과 현대적 감각에 어울리는  제품들을 주로 생산하여 왔으며, 현재는 세월의 흐름과 시대의 변화에 따라 소비자가  요구하는 모든 분야에 만족을 위해 최첨단 레이저 조각기(미국 에필로그시 : RADIOS)를 도입하여 다방면에 활용을 하고 있으며, 목공예품을 우리 실생활에 접목하여 우리 고유의 문화유산을 지켜나간다.",053-982-4020,작업장 (300평) 및 판매소 (3개소),"원목수공예품, 선물용품, 목공예 제수용품 외 공예품",,,1983년 10월,08:00 ~ 18:00(방문전 전화문의 요망),일요일,,,,불가,없음,없음,,
대구 서문시장 & 서문시장 야시장,41926,,,대구광역시 중구 큰장로26길 45,35.8689226144,128.5807862176,"1920년대에 천황당지(天皇堂池)를 매립하여 지금의 장소로 이전한 대구 큰 장이라고 했던 서문시장은  오랜 역사를 가지고 있다. 조선시대 3대 시장 이라면 대구, 평양, 강경 등 세 군데 시장을  말했다. 대구 성곽의 서쪽에 있었기 때문에 서문시장이라 명하였고 처음에는 성곽에서300m 정도의 거리인 지금의 시장북로 본전커피숍 주위 오토바이 골목일대가 시장이였으며 매월  2일과 7일 개장 했다고 한다. 홍두깨전, 닭전 골목이름이 지금까지 남아 있다. 섬유관련 품  목이 주종을 이루며 주단, 포목, 메리야스, 공예품, 남녀의류, 그릇, 건해산물등 없는 것이  없을 정도로 규모가 크다. 푸근한 인심이 살아 있으며 냉난방시설, 대형주차장등 이 편리하게 갖추어져 있다.<br/> 서문야시장의 시그니처 메뉴는 대구의 소울푸드 막창을 컵에 담아 소량 판매하는 컵막창이다. 무를 얇게 썰어 떡볶이국물을 우려낸 무떡볶이와 영국 전통음식에서 착안한 쉬림프 앤 칩스는 줄을 서서 먹어야 할 정도로 인기가 좋다.<br/>
※ 야시장 운영시간
* 일/화/수/목 19:00~22:30
* 금/토 19:00~23:30
* 매주 월요일 정기휴무",053-256-6341,,"주단, 포목, 메리야스, 공예품, 어물, 그릇, 남녀의류, 건어물",,,,09:00 ~ 19:00(상가/점포마다 다름),매월 첫째/셋째 일요일,,주차가능(800대),,없음,불가,가능,있음,
성당시장,42454,,,대구광역시 남구 성당로 196(대명동),35.8504190135,128.5731762914,"대구 도심을 여행하면서 들르기 좋은 시장이다. 시장 내 상점에서는 대구의 지역 먹을거리를 판매한다. 주변 관광지로는 이월드, 두류벽화 마을, 두류공원, 대명 문화거리가 있다.",053-625-1288,,"생선, 떡, 식육점, 국밥",,,,08:00 ~ 20:00,개별휴무,총 상점수 174 개,,,없음,없음,없음,,
영선시장,42424,,,대구광역시 남구 중앙대로48길 36(대명동),35.8523636026,128.5929717155,"미군 부대 인근에 있어 미군 가족 방문이 많다. 먹거리가 다양해 많은 사람이 찾는다. 주변 관광지로는 이천동 99계단 벽화마을, 2.28민주운동기념회관, 대명공연거리, 봉산문화거리가 있다.",053-803-3881~3886,,"떡, 침구류, 곡물",,,,06:00~22:00,연중무휴 / 개별점포휴무,총 상점수 121개,,,없음,없음,없음,,
펜디 신세계 대구점,41229,,,대구광역시 동구 동부로 149 5층,35.8779835934,128.6292150324,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
천미사 (상감입사장),42169,상감입사장,053-768-0021,대구광역시 수성구 들안로 108(두산동),35.8395349443,128.6171282789,"상감입사란 조금의 기법으로 쇠나 구리 등의 금속표면에 홈을 파고, 금선이나 은선을 끼워 넣어서 장식하는 전통적인 상감기법으로 우리나라에서는 입사라고 한다. 우리나라에서는 4세기경부터 철제 무기류나 청동제 그릇의 표면에 금이나 은으로 입사장식을 한 공예품들이 많이 발견된다. 입사기법이 가장 발달했던 시기는 고려시대로서 청동향로와 같은 뛰어난 불교공예품에 입사기법이 사용되었다. 이러한 전통적인 고려시대의 입사기법은 계속 이어졌는데, 조선중기 이후에는 청동뿐만 아니라 철재에 은입사를 해서 여러가지 생활용품을 만들었다. 입사에는 크게 두가지 기법이 있는데 하나는 고려시대부터 전해지는 전통적인 청동은입사 기법으로 바탕금속(청동)의 표면에 정으로 홈을 파고 그 안에 은선을 박아 넣는 것이고, 다른 하나는 조선중기 이후부터 전래된 철입사로 바탕 금속(철)의 표면에 정을 사용하여 가로 세로로 쪼아 거스러미를 일으킨 후 그 위에 얇은 금, 은판이나 선을 놓고 망치로 쳐서 금속에 붙이는 것으로 일본에서 소위 포목상감이라 부른다. 이 두 가지 기법 중에서 상감입사는 조각장이 하는 경우가 많았고, 입사장은 대부분 철입사를 담당하였다. 우리나라에서는 삼국시대, 통일신라시대부터 상감입사와 얇은 금속판이 입사 재료로 병용되었고, 고려시대에는 상감입사기법이 매우 높은 수준으로 발달되었다. 상감입사는 많은 시간과 고도의 기법을 요하므로 귀족층의 기물에 쓰였고, 조선중기 이후부터는 쉽게 문양을 나타낼 수 있는 입사를 개발하여 일반에도 보급된 것으로 추정되며, 일제 강점기에 접어들면서 조선시대까지 공조와 상의원에 속하였던 입사장, 조각장등에 의하여 전승되던 입사, 상감입사 등의 공예기법은 이왕가 미술제작소의 장인들에 의하여 전승되었고, 김용운은 이 전통적 기법을 전승한 상감입사장이라 생각되며 기능보유자인 김용운의 상감입사 공예품은 고려시대에서 조선시대까지 발전해온 동체와 뚜껑의 모양이나 크기가 같은 합구형식의 원반합과 같은 모양을 추구하여 인주함, 연초함, 향합, 합 등을 제작하였다. 
또한 사용된 재료 역시 동의 바탕에 전·연성이 좋은 은을 구리와 합금하여 선이나 면으로 정을 사용해서 홈을 파내고 은실을 박아 넣는 기법은 고려시대, 조선시대 상감입사 공예품과 같다. 입사기법은 세공이기 때문에 그다지 많은 공구가 사용되지 않으며 여러 종류의 정과 망치가 주로 사용되고, 여성 장식용 금은상감입사 노리개 작품에서도 형태는 부드러운 나비, 달과 같은 곡선과 직선을 가미시켜 금재료 바탕에 백금선으로 소나무, 학, 구름, 물결 등의 십장생문을 사용해서 형태의 분위기는 한국적이면서도 현대적인 감각을 내포하고 있다. 그는 많은 공모전에 출품하여 1981년 전국 공예품 경진대회 대통령상 수상을 비롯하여, 대구 공예품 경진 대회에서 4회의 금상 등 수십 차례의 수상경력을 가지고 있으며, 1981년 기능 올림픽, 대구산업디자인전람회, 대구관광공예품 경진대회 등에서 심사장, 심사위원도 역임하였다.",053-768-0021,작업장 및 전시장 (100평),금속공예품,,,,월~토 10:00 ∼ 18:00,"일요일, 명절연휴",,,,불가,불가,없음,완비,
"불로장 / 불로전통시장 (5, 10일)",41036,불로전통시장 상인회,053-982-8588,대구광역시 동구 팔공로26길 9-1(불로동),35.9123382806,128.6423906901,"불로전통시장이 위치한 불로동은 한자로 不老洞, 늙지 않은 동네란 뜻이다. 왕건이 동수전투(일명:공산전투)에서 패하여 도주하다 이 지역에 이르렀을 때 어른들은 전부 피난가고 어린아이들만 남아있어 붙여진 이름이라고 한다. 조선시대 3대 시장 중의 하나인 대구의 서문시장보다 더 오래 되었고, 한때 김천, 영천, 반야월, 하양장과 함께 경북 5대 5일장에 들만큼 성했던 곳으로써 불로전통시장이 형성된지 70년이 넘는 역사를 지니고 있다. 불로전통시장은 5일과 10일 5일간격으로 장이 서는 5일장과 정기시장을 겸하고 있다. 현재 점포수는 150개, 시장부지 면적은 15,772㎡, 건물면적은 7,558㎡이며, 2005년부터 2009년까지 시장 환경 개선 사업을 통하여 공중화장실과 목공예전시장, 안내 입간판을 설치하고 공영주차장을 마련하며 시장진입로를 확장하는 등 중소상인 및 전통시장 활성화를 위해 지역 우수 특산물을 판매하고, 옛 추억을 되살리고 정감이 넘치는 시장을 위해 노력하고 있다.",053-982-8588,"- 부지면적 15,772㎡<br> 
- 매장면적 7,558㎡ <br>
- 점 포 수 150개소","농산물, 목공예품과 , 평광사과, 화훼류 등",,"상설시장 / 5일장(5, 10일)",1930년대,,연중무휴,점포수는 150개,주차 가능,,없음,없음,가능,공중화장실 1개소,
미꼬쥬얼리 신세계대구,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-1815,,기타 소매,,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
세컨페이스 동성로,41942,,,대구광역시 중구 동성로5길 46 1층,35.8674619698,128.5970987099,-,053-428-0222,,안경,,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
