명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
실비찜갈비,41908,실비찜갈비,053-424-3443,대구광역시 중구 동덕로36길 9-3,35.8706756365,128.6047840550,"※ 영업시간 09:00 ~ 22:00

대구 동인동 찜갈비 골목에 위치한 곳으로 대구 특유의 매운맛이 살아있는 '양푼매운갈비'를 맛볼 수 있다. 마늘을 듬뿍 넣은 매운 찜갈비는 한약재를 넣고 찐 갈비를 마늘이 많이 들어간 매운 양념으로 볶아낸다.",053-424-3443,,,주차 가능(30대),0,1968년,09:00~22:00,연중무휴,찜갈비,찜갈비 / 소고기찌개 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-424-3443),"화장실:실내, 남녀공용

",20080158033
주홍산장식당,39066,주홍산장,054-382-8050,대구광역시 군위군 부계면 한티로 1672,36.0302303790,128.6371989557,경북 팔공산 주변 음식점 중 15년 넘는 전통의 오리요리 전문점이다. 물 좋고 공기 좋고 경관 좋은 팔공산 한티재 너머에 자리 잡은 이곳은 일단 도착하면 물레방아와 통나무 방갈로가 눈에 띈다. 예쁜 조경들 사이사이의 방갈로에서 오리고기를 맛볼 수 있다.,054-382-8050,,400석,주차 가능(50대),0,1994년 4월,00:00 ~ 24:00,명절연휴,오리구이,오리구이 / 오리주물럭 / 생삼겹 외,,모두 금연석,없음,가능,전화 054-382-8050,"부대시설:노래방, 무료숙박시설, 족구장
화장실:있음(실내, 실외, 남여분리)
",19950562002
군위이로운한우,39026,군위이로운한우,054-382-9800,대구광역시 군위군 효령면 간동유원지길 14,36.1784459060,128.5843883341,한우 직판매장으로 1층에서 직접 고기를 주문하여 2층 식당에서 기본 상차림비를 지불한 뒤 한우를 맛볼 수 있는 곳이다. 경북 군위에 위치하고 팔공산 경계를 접하여 물 좋고 공기 좋은 청정지역에서 한우를 직접 키우는 농가들이 영농조합 법인을 설립하여 암소와 거세우를 어린 송아지부터 키웠으며 한우를 직접 선별한 100% 1등급 한우이다.,054-382-9800,,,주차 가능,0,,10:00 ~ 21:00,명절연휴(전화문의),한우 구이 / 육회,한우 구이 / 육회 / 전골 / 불고기 / 냉면 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (054-382-9800),,20080562007
기러기농장가든,39038,기러기농장가든,054-382-6337,대구광역시 군위군 효령면 용매로 788,36.0847289836,128.5957788579,"경상북도 군위군에 위치한 기러기농장가든은 농림부에서 지정한 위해 요소 중점관리(HACCP)인증 사료만으로 사육하고 있으며, 손님들이 안심하고 맛있게 드실 수 있도록 최선을 다하고 있다.<br>",054-382-6337,,,주차 가능,0,,09:00 ~ 22:00,연중무휴,기러기요리,기러기요리 / 오리불고기 / 한방백숙 / 닭도리탕 외,,모두 금연석,가능,,전화 054-382-6337,,19990562056
다정옥,41920,옛날진지상,053-250-0988,대구광역시 중구 달성로22길 12,35.8746692238,128.5828330998,"다정옥 (구,옛날진지상) 은 천연식재료만을 사용하여 음식맛을 살려 담백하게 조리하고 있다.",053-250-0988,,180석 (룸 12실),주차 가능,0,2001-01-04,10:00 ~ 22:30 (전화문의),일요일 / 명절당일 (전화문의),한정식 코스요리,떡갈비 정식 / 돼지 불고기 정식 등,,모두 금연석,가능,,전화 예약 가능 (042-471-5544),"화장실:남녀개별 화장실
",20100158040
봉산찜갈비,41908,봉산찜갈비,053-425-4203,대구광역시 중구 동덕로36길 9-18,35.8712144710,128.6051395639,"63년부터 시작되어 온 동인동 찜갈비는 매운 맛으로 양은냄비에 담아내어 나오는 것이 특징이다. 이것이 입소문이 퍼지면서 100여 미터 길 양편에 지금의 ‘동인동 찜갈비골목’이 형성되었다. 다른 철제 용기에 비해 열전도율이 높은 양은냄비의 특성을 이용하여 조리된 찜갈비는, 쫄깃쫄깃한 육질과 온갖 양념이 어우러져 최고의 맛을 만들어 낸다. 대구의 향토음식으로 자리매김하여 전국에서 인기를 얻고 있으며, 외국인에게 대접하기에도 적당하다.",053-425-4203,,,주차 가능(20대),0,1972년 03월 01일,09:00 ~ 21:10(라스트오더 20:40),명절연휴(전화문의),찜갈비,찜갈비 / 한우찜갈비 / 갈비살찌개 외,,모두 금연석,가능,가능,전화 예약 가능 (053-425-4203),"화장실:남녀개별, 업소내 위치
",19910158098
동곡할매손칼국수,42903,동곡할매손칼국수,053-582-0278,대구광역시 달성군 하빈면 달구벌대로55길 104-4,35.8791101308,128.4176530958,동곡할매손칼국수는 대구광역시 달성군 하빈면에 위치한 칼국수 전문점이다. 30년 이상 명맥을 유지하며 꾸준하게 사랑받아온 점포로 중소벤처기업부 백년가게 인증을 받은 곳이다. 이곳의 국수는 다른 국수와 달리 일정 기간 적정 온도에서 숙성시킨 음식이라 면발이 쫄깃하고 잘 퍼지지 않으며 순수 원재료를 사용하여 향토음식의 맛을 그대로 느낄 수 있다. 또한 한국 전통문화보존회가 맛있는 음식으로 선정하였으며 할머니께서는 손국수 명인장이 되셨다.,053-582-0278,,,가능,0,,10:00~20:00,매월 첫째 주 월요일,손국수,손국수 / 수육 / 암뽕 등,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-582-0278),"화장실:남녀개별 / 업소 외부 위치
",19750188001
상주식당,41938,상주식당,053-425-5924,대구광역시 중구 국채보상로 598-1,35.8704060615,128.5960514978,"50년 넘게 추어탕 단일 메뉴를 대물림한 집, 대구에서 가장 오래된 추어탕집으로, 양식 미꾸라지를 사용하지 않기 때문에 미꾸라지가 잡히지 않는 12월 말경에서 2월 말경까지 문을 닫는다. 가족적인 분위기를 위하여 술은 팔지 않으며, 진하면서도 시원하고 담백한 국물 맛과 김치의 맛이 독특하다. 특히 사계절 물김치의 맛은 일품이다.",053-425-5924,,,,0,,10:00 ~ 19:00,12월 15일~3월 말,추어탕,추어탕,,모두 금연석,가능,가능(일부 메뉴),,,19700158011
대덕식당,42490,대덕식당,053-656-8111,대구광역시 남구 앞산순환로 443,35.8310378812,128.5735656841,"대덕식당은 30년 동안 선짓국만을 끓인 집이다. 사골을 진하게 우려낸 국물에 우거지, 마늘, 토란, 파, 양념을 넣고 삶은 선지를 넣어 푹 끓여 만든 선짓국은 진한 국물 맛과 얼큰하면서 개운한 맛이 일품이다.",053-656-8111,,,주차 가능,0,,평일 08:00 ~ 21:00 / 주말 07:00 ~ 21:00,연중무휴,선지 국밥 / 선지,선지 국밥 / 선지 / 육개장 / 왕갈비탕 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-656-8111),,19780166007
원조현풍박소선할매집곰탕,43005,원조현풍박소선할매집곰탕,053-615-1122,대구광역시 달성군 현풍중앙로 56-1 원조현풍할매집곰탕,35.6946259664,128.4458056961,"옛날에는 보양식으로 먹었던 곰탕, 이 곰탕의 명가로 꼽히는 곳이 박소선할매집곰탕이다. 박소선 할매가 처음으로 식당을 연 원조집이 바로 현풍면 하리에 있는 이 집이다. 1945년 박소선 할머니가 문을 연 이래 지금까지 60여 년간 대를 이어가며 곰탕만을 만들어 내고 있다. 지금은 박 할머니의 며느리인 안경순씨가 시집와 30여 년을 시어머니 밑에서 전수받은 비결로 음식을 만들어 내고 있다. 

곰탕이 달라야 얼마나 다르랴 하겠지만 진한 국물 맛에 쫄깃한 고기와 맛깔스러운 밑반찬이 누가 먹어도 입에 거슬리지 않는다. 뽀얗기보다는 약간은 노르스름한 색이 도는 국물에 밥을 말아 먹다 보면 입에 착 감기는 구수한 맛이 느껴진다. 고깃집이 아님에도 현풍 곰탕집은 대구의 도축장을 비롯해 경주, 포항, 고령 등 경북지역 곳곳을 돌며 엄선된 고기를 구입한다. 양념이 안 들어가는 곰탕은 원재료가 좋아야 하기 때문이다.",053-615-1122,,,주차 가능,0,,09:00 ~ 20:30,명절연휴,곰탕,곰탕 / 양곰탕 / 꼬리곰탕 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-615-1122),"화장실:남녀개별 / 업소 내부 위치
",19840188029
