명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
금산삼계탕,42163,금산삼계탕,053-761-9331,대구광역시 수성구 들안로 49(상동),35.8342383062,128.6162840560,"금산삼계탕 본점은 대구광역시 수성구 상동에 있다. 웅장한 느낌의 외관과 깔끔한 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 30년 넘게 운영 중인 이곳의 대표 메뉴는 금산삼계탕이다. 이 밖에 상황삼계탕, 흑마늘삼계탕, 한방삼계탕, 송이삼계탕, 전복삼계탕 등 여러 가지 삼계탕을 입맛에 따라 골라 맛볼 수 있다. 삼계탕 외에 전기통닭, 똥집볶음, 고디탕 등도 준비되어 있다. 파동IC에서 가깝고, 주변에 아르떼 수성랜드와 고산골 공룡공원이 있다.
또한 문화관광부가 선정한 중국관광객우수전문식당이다.<br />
외국인 단체 관광객(일본.중국 관광객 전용객실)을 위한 특별전용공간을 만들어 한국의 전통음식 삼계탕을 외국인에게 소개해도 손색이 없는 집이다.<br /><br />대구의 주요 관광지인 수성 유원지 들안길 음식단지 도로변에 금산삼계탕이 자리하고 있으며, 르네상스식 석조 건물형식의 고급스러운 외형에 걸맞도록 인테리어된 실내 환경이 고급 집기들과 잘 조화를 이루어 쾌적하고 청결한 분위기를 연출하고 있다. <br /><br />

육질이 부드럽고 맛있는 420g짜리 영계 닭과 인삼, 찹쌀이 어우러져 남녀노소 누구나 매료되는 맛을 만들어 낸다. 대구에서 가장 맛있는 삼계탕이라고 불리고 싶은 자세로 장사한다고 한다.
<br>",053-761-9331,,,있음/주차요금 없음,0,,10:30~22:30,연중무휴,금산삼계탕,"상황삼계탕, 흑마늘삼계탕, 한방삼계탕, 송이삼계탕, 전복삼계탕, 전기통닭, 똥집볶음, 고디탕 등",,모두 금연석,가능,가능,전화 예약 문의 (053-761-9331),,20000176770
신성회초밥,41858,신성회초밥,053-552-9988,대구광역시 서구 서대구로 56,35.8629950625,128.5566218448,"※ 영업시간 11:30 ~ 23:00

25년 전통을 자랑하는 서구 지정 맛집의 정통 일식집이다.",053-552-9988,,,주차 가능,0,,11:30 ~ 23:00,,생선회코스,생선회코스 / 초밥정식 / 규동 / 장어덮밥 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-552-9988),,20000163353
청송약수삼계탕,41824,청송약수삼계탕,053-566-3344,대구광역시 서구 서대구로 130,35.8695165268,128.5555662013,"신선도 높은 최고의 재료만을 사용하고 있으며, 청송 약수와 선별된 토종닭의 조화로운 삼계탕 본연의 맛을 느낄 수 있다. 넓은 주차장과 객실은 귀한 분을 모시기에 손색이 없다.<br>",053-566-3344,,,주차 가능,0,,10:30 ~ 21:30,연중무휴,토종삼계탕 / 옻계탕,토종삼계탕 / 옻계탕 / 한방삼계탕 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 문의 (053-566-3344),,20000163331
산채식당,41007,산채식당,053-985-4082,대구광역시 동구 팔공산로185길 72(용수동),35.9887972314,128.6934507137,"산채식당은 대구 동구에서 손꼽히는 맛집이다. 오리훈제구이에서 한정식까지 다양한 메뉴가 준비되어 있지만 신선한 산나물에 밥을 비벼 먹는 산채비빔밥과 돌솥비빔밥이 이 집의 대표 메뉴다.<br>산채식당은 언제나 신선한 재료만을 선별하여 모든 음식에 정성을 다하고 있으며, 보다 편안하고 쾌적한 분위기에서 식사를 즐기실 수 있도록 준비하고 있다.<br>웰빙시대에 발맞춰 맛좋고 건강에 좋은 먹거리를 위해 최고의 식재료만을 사용하고 있다. 밝은 미소와 밝은 표정으로 귀하의 여유있고 편안한 휴식공간이 되도록 노력하고있다.",053-985-4082,,,주차 가능,0,,09:30 ~ 21:00,연중무휴,산채비빔밥 / 오리불고기,산채비빔밥 / 오리불고기 / 오리로스구이 / 백숙 / 돌솥비빔밥 / 버섯전골 외,,모두 금연석,가능,,전화 예약 문의 (053-985-4082),,19950160275
데이라,42608,데이라,053-592-0786,대구광역시 달서구 서당로9길 47,35.8561030070,128.4930054202,대구광역시 달서구에 있는 아시아식 레스토랑이다. 인도식 카레 전문점이다. 대표메뉴는 커리다.,053-592-0786,,,가능,0,,11:30 ~ 22:00 (브레이크타임 14:30 ~ 17:30),매주 월요일,커리,커리 / 탄두리치킨,,금연,없음,가능,가능,"화장실:남녀구분

",20150182165
힛또,41953,힛또,053-256-6868,대구광역시 중구 명덕로 333,35.8558384563,128.6063648840,"일식 돈카츠, 스시, 우동, 모밀, 까츠동, 라멘 등 최상의 재료로 최고의 맛을 자랑한다.",053-256-6868,,,가능,0,,11:00-20:00,한달 한번 월요일(유동적),장어초밥,장어초밥 / 모듬초밥,,금연,없음,가능,가능,,20040158023
제로테이블,42124,,010-6581-4860,대구광역시 수성구 수성로68길 35-8(수성동2가),35.8553886839,128.6159418310,"'비건베이커리 제로테이블' 제로테이블은 '식탁 위 , 몸에나쁜것을 제로로하다'라는 아이덴티티를 가지고 만든 비건베이커리 입니다.<br>",,,,매장앞 2대 가능,0,,12:00~19:00(빵소진시 close),"일,월 (상반기는 일,월,화,수)","비건 쌀식빵, 비건크림빵",,,,없음,,,,
커피명가 라핀카,42039,커피명가 라핀카,053-743-0892,대구광역시 수성구 국채보상로 953-1,35.8676626453,128.6349148183,"대구 수성구 만촌동에 있는 커피명가 라핀카는 다양한 종류의 원두를 로스팅 하여 제공하는 커피 전문점이다. 세계 각국의 원두를 엄선하여 제공하며, 다양한 종류의 커피 원두를 구매할 수 있다.",053-743-0892,,,주차 가능,0,,09:00 ~ 22:00,연중무휴,핸드드립 커피,핸드드립 커피 / 에스프레소 / 아메리카노 / 카페라떼 / 더치커피 / 에이드 / 스무디 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-743-0892),,20120174823
국수마을,41589,국수마을,053-355-4724,대구광역시 북구 원대로19길 16,35.8864789532,128.5804079844,"[대구 북구 노원동1가에 있는 국수 전문점 국수마을]<br /> 국수마을은 대구 북구 노원동1가에 있는 국수 전문 음식점이다. 국수마을은 주변에 공장이 많아 공장 사람들을 위해 시작하였다가 사람들의 입소문을 통해 지금의 국수마을로 영업하고 있다. 국수마을에서는 단일메뉴로 국수를 제공하며, 밑반찬도 깍두기와 청양고추 두 가지만 제공한다.<br>",053-355-4724,,,주차 가능,0,,11:00 ~ 18:00,"일요일,공휴일",국수,국수,,모두 금연석,없음,,전화 예약 가능 (053-355-4724),,20030168663
중앙떡볶이,41938,중앙떡볶이,053-424-7692,대구광역시 중구 동성로2길 81,35.8695145125,128.5969625542,"대구광역시 중구 동성로2가에 있는 중앙떡볶이는 떡볶이 전문 음식점이다. 대구 2.28 공원 옆에 위치하였으며 쌀떡볶이, 만두, 순대, 김밥을 제공한다. 대구에 오면 꼭 먹어봐야 하는 떡볶이 맛집이다. 방송 백종원 3대천왕에도 방영된 적 있다. 쫀득쫀득 쌀떡과 납작만두가 인기메뉴이다. <br>",053-424-7692,,,,0,,11:30 ~ 19:00,매주 일요일,쌀떡볶이,쌀떡볶이 / 김밥 / 순대 / 만두 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-424-7692),,20190159760
딜리저트,42818,딜리저트,0507-1426-5103,대구광역시 달서구 중흥로 14송현동,35.8324290537,128.5552922552,딜리저트는 대구시 달서구 송현동에 위치한 핸드메이드 디저트샵으로 이미 SNS에 유명세를 펼치고 있다.홍콩분위기의 카페로 시그니처 메뉴인 홍콩와플은 전국 어디에서도 맛볼 수 없는 환상의 디저트 맛을 볼 수가 있다.<br>,0507-1426-5103,,,주차 불가 (공용 유료주차장 이용),0,,10:00 ~ 22:00,매주 일요일,홍콩와플,요거트게이크 / 홍콩빙수 흑임자 / 각종 음료,,모두 금연석,가능,포장 가능,,"화장실:내부 위치
",20170158131
호남정 한정식,42173,호남정 한정식,053-767-9555,대구광역시 수성구 들안로 24,35.8320302360,128.6170173861,"대구시 음식문화개선홍보 우수상, 나트륨줄이기 건강음식점 선정 호남정은 들안길에 위치한 전라도 한정식 전문점이다. 전남 고흥 농장에서 직접 재배한 신선한 제철 식재료를 이용하여 조리한다. 총 200석 규모의 좌석이 있으며, 개별룸으로 이루어진 공간이라서 독립적인 분위기에서 단란한 식사가 가능하다. 정식을 주문하면 전채요리와 메인요리 그리고 식사상이 나오며, 식후 디저트도 제공된다. 전라도 대표메뉴인 홍어 요리는 일품메뉴로 즐길 수 있다. 약 40여대의 주차장공간이 준비되어있다.<br>",053-767-9555,,,주차 가능,0,1998-11-10,11:30 ~ 22:00 (마지막 식사주문 22:00),"명절 전날, 당일 휴무",수복정식,수복정식 / 수라정식 / 호남정식 / 홍어삼합 / 활전복회 / 한우육회 / 떡갈비 외,,모두 금연석,없음,불가,전화 예약 문의 (053-767-9555),"화장실:남녀개별, 업소내위치
",20080174777
어랑만두,41940,,,대구광역시 중구 삼덕동2가 동덕로 (111)210-5,35.8647790466,128.6028677209,어랑만두는 감성 넘치는 인테리어 맛집은 아니지만 사장님의 손맛이 넘치는 맛집이다. 만둣국의 뜨끈한 국물을 먹으면 피로가 풀리는 기분이 든다. 곁들여 바삭한 군만두를 먹으면 최고의 맛이다. 생활의 달인에도 나왔던 맛집이다.,053-253-1232,,,,,,11:30 ~ 19:30 (브레이크타임 15:00 ~ 16:00),"매주 토요일, 일요일",어랑 왕만두,어랑 왕만두 / 만두국 / 비빔만두 / 군만두 / 쫄면만두,,,가능,,,,20060158364
라가,42275,,,대구광역시 수성구  신매로16길 (45),35.8385034350,128.7095312856,현지인이 운영하는 인도 커리 맛집이다. 인도의 찐 커리맛을 고스란히 느낄 수 있다. 평일 점심 특선도 준비되어 있으며 가성비 좋다.,053-794-1645,,,,,,11:30 ~ 22:00 (15:00 ~ 17:00 브레이크타임),"매월 첫째, 셋째주 월요일",인도 커리,야채 커리 / 새우 커리 / 케밥 / 탄두리치킨 등,,,,,,,
큰집식당,41405,,,대구광역시 북구 학정로 551-23,35.9544181879,128.5646435917,"칠곡경대병원에서 가까우며 한끼 식사를 원할 때 안성맞춤인 곳이다. 당일 요리하여 더욱 맛있고 신선하다.<br>오픈주방으로 청결에 신뢰가 간다. 반찬도 리필이 가능하다. 메뉴는 육개장, 육칼면, 육개장순두부, 치즈돈까스, 돈까스 등이 있다.",053-311-3338,,,,,,10:30~20:30,"토,일요일 휴무",육개장,"육개장, 육칼면, 육개장순두부, 치즈돈까스, 돈까스",,,가능,,,,
