,명칭,주소,위도,경도,분류
0,군위 아미타여래삼존 석굴,대구광역시 군위군 부계면 남산4길 24(부계면),36.0477229041,128.640695377,관광지_인문
1,장군당(효령사),대구광역시 군위군 효령면 장군당1길 35-1,36.1226436732,128.5715104911,관광지_인문
2,대구향교,대구광역시 중구 명륜로 112(남산동),35.859751711,128.5959906893,관광지_인문
3,인각사,대구광역시 군위군 고로면 삼국유사로 250(고로면),36.1276914161,128.7795058654,관광지_인문
4,군위 팔공산능금마을,대구광역시 군위군 부계면 동산2길 37,36.0480425511,128.6535386794,관광지_인문
5,한밤마을,대구광역시 군위군 부계면 한티로 2137-3(부계면),36.0593162984,128.6549493486,관광지_인문
6,팔공산 케이블카,대구광역시 동구 팔공산로185길 51,35.9908470255,128.6948699756,관광지_인문
7,대구 근대골목(근대로의 여행),대구광역시 중구 국채보상로102길 66,35.8677811868,128.5867579454,관광지_인문
8,위천수변테마공원,대구광역시 군위군 효령면 간동유원지길 8,36.1762267311,128.5853160926,관광지_인문
9,달성습지생태학습관,대구광역시 달성군 화원읍 구라1길 88,35.8167268005,128.4870792548,관광지_인문
10,군위 화산산성 전망대,대구광역시 군위군 고로면 화산길 619-26,36.0990640247,128.7750237401,관광지_인문
11,군위 삼국유사 테마파크,대구광역시 군위군 의흥면 일연테마로 100,36.1608778549,128.7012896086,관광지_인문
12,옻골동산,대구 북구 구암동 산 4,35.9422614565,128.5767928596,관광지_인문
13,사라온이야기마을,대구광역시 군위군 군위읍 동서길 49,36.2362001424,128.5677576168,관광지_인문
14,김수환 추기경 사랑과 나눔공원,대구광역시 군위군 군위읍 용대리238-7,36.2323400809,128.6006187064,관광지_인문
15,일연공원,대구광역시 군위군 삼국유사면 화북1길 12,36.1285578635,128.7730203025,관광지_인문
16,법주사,대구광역시 군위군 소보면 달산3길 215,36.2726297081,128.4383208315,관광지_인문
17,군위향교,대구광역시 군위군 군위읍 동서2길 17-28,36.2342364933,128.5686353725,관광지_인문
18,군위 상매댁,대구광역시 군위군 부계면 한밤5길 19,36.0586385795,128.6539855641,관광지_인문
19,화산산성,대구광역시 군위군 고로면 화북리,36.0983142281,128.7813732013,관광지_인문
