,명칭,주소,위도,경도,분류
0,대구앞산공원,대구광역시 남구 앞산순환로 574-87,35.8290189503,128.5890560428,관광지_자연
1,팔공산도립공원(군위군),"대구광역시 군위군 부계면 남산리, 산성면 백학리, 효령면 매곡리",36.0492977239,128.6405814539,관광지_자연
2,군위 장곡자연휴양림,대구광역시 군위군 고로면 장곡휴양림길 195,36.1298034567,128.8419725161,관광지_자연
3,팔공산자연공원(파계사지구),대구광역시 동구 파계로 741(중대동),36.0062941933,128.6365885705,관광지_자연
4,비슬산 군립공원,대구광역시 달성군 유가면 휴양림길 230,35.6901110439,128.5133193248,관광지_자연
5,팔공산자연공원(동화사지구),대구광역시 동구 동화사1길 1,35.9899388189,128.6961615543,관광지_자연
6,대구수목원,대구광역시 달서구 화암로 342(대곡동),35.8007431029,128.5200295717,관광지_자연
7,대구 달성습지,대구광역시 달성군 다사읍 죽곡리,35.8409875753,128.4670442386,관광지_자연
8,고산골 메타쉐콰이어길,대구광역시 남구 용두2길 43,35.8300524321,128.6034408589,관광지_자연
9,팔공산하늘정원,대구광역시 군위군 부계면 원효길 576,36.0234350388,128.6970633102,관광지_자연
10,대한수목원,대구광역시 동구 파계로 446-42(중대동),35.9738311385,128.6329120276,관광지_자연
11,달창저수지,대구광역시 달성군 유가읍 구례길 1,35.6451514212,128.4688244714,관광지_자연
12,학산공원,대구 달서구 월성동 산10-1,35.828159781,128.5383410887,관광지_자연
13,침산공원,대구 북구 침산동 1344-1,35.8952252855,128.585862816,관광지_자연
14,주암산가창저수지,경상북도 청도군 각북면 오산리,35.7996421023,128.609924466,관광지_자연
15,리조트 스파밸리 네이처파크,대구광역시 달성군 가창면 가창로 891,35.7881605357,128.6353392148,관광지_자연
16,화원자연휴양림,대구광역시 달성군 화원읍 화원휴양림길 126,35.7718300136,128.5367594539,관광지_자연
17,창평지친환경생태공원(창평지),대구광역시 군위군 부계면 창평리 1547,36.0921352221,128.6778325146,관광지_자연
18,반야월연꽃단지,대구광역시 동구 대림로2길 54-5(대림동),35.8686645503,128.7439829668,관광지_자연
19,대율리 송림,대구광역시 군위군 부계면 대율리,36.0592107331,128.6537966756,관광지_자연
