,명칭,주소,위도,경도,분류
0,경북대학교박물관,대구광역시 북구 대학로 80(산격동),35.8906568441,128.6121828463,문화시설_박물관
1,자연염색박물관,대구광역시 동구 파계로112길 17,35.9793444686,128.6364782252,문화시설_박물관
2,계명대학교 행소박물관,대구광역시 달서구 달구벌대로 1095,35.8557918555,128.4888835704,문화시설_박물관
3,대구교육대학교 교육박물관,대구광역시 남구 중앙대로 219(대명동),35.8530690041,128.5889414958,문화시설_박물관
4,국립대구박물관,대구광역시 수성구 청호로 321,35.8455790962,128.6383484648,문화시설_박물관
5,작은 중앙가족박물관(한방개인박물관),대구광역시 중구 중앙대로77길 50-5(장관동),35.8686617201,128.5909297757,문화시설_박물관
6,향토역사관,대구광역시 중구 달성공원로 35(달성동),35.8734025733,128.5759198549,문화시설_박물관
7,경북대학교자연사박물관,대구광역시 군위군 효령면 경북대로 2228,36.1214827951,128.5769683751,문화시설_박물관
8,대구교육박물관,대구광역시 북구 대동로1길 40(산격동),35.8974255259,128.6123604195,문화시설_박물관
9,박물관 수,대구광역시 수성구 국채보상로186길 79,35.8648379507,128.6341705181,문화시설_박물관
10,선사시대로 거리박물관,대구 달서구 월배로 · 상화로 일원,35.8100420853,128.5219180373,문화시설_박물관
11,월곡역사박물관,대구광역시 달서구 송현로7길 38(상인동),35.8192525904,128.5456656901,문화시설_박물관
12,신전뮤지엄(신전히스토리뮤지엄),대구광역시 북구 관음로 43(관음동),35.9348227331,128.5400740831,문화시설_박물관
