,명칭,주소,위도,경도,분류
0,대구근대역사관,대구광역시 중구 경상감영길 67(포정동),35.8717808158,128.5911630018,문화시설_전시관
1,달성 한일우호관,대구광역시 달성군 가창면 우록길 206,35.7233680767,128.6471510842,문화시설_전시관
2,국립대구과학관,대구광역시 달성군 테크노대로6길 20 국립대구과학관,35.6862439572,128.4664457762,문화시설_전시관
3,향촌문화관,대구광역시 중구 중앙대로 449(향촌동),35.8733612482,128.594184914,문화시설_전시관
4,근대문화체험관 계산예가,대구광역시 중구 서성로 6-1(계산동2가),35.8671840532,128.5878634206,문화시설_전시관
5,에코한방웰빙체험관,대구광역시 중구 남성로 24(남성로),35.8680145402,128.5892743843,문화시설_전시관
6,패션주얼리전문타운,대구광역시 중구 경상감영길 176(동문동),35.8717531431,128.596695849,문화시설_전시관
7,국립대구기상과학관,대구광역시 동구 효동로2길 10(효목동),35.8791505263,128.6507908775,문화시설_전시관
8,수창청춘맨숀,대구광역시 중구 달성로22길 27,35.8754330454,128.5838718758,문화시설_전시관
9,고모역복합문화공간,대구광역시 수성구 고모로 208,35.8583006239,128.6786417851,문화시설_전시관
10,동제미술관(동제미술전시관),대구광역시 달성군 가창면 헐티로10길 18,35.7895012789,128.5934345322,문화시설_전시관
11,264작은문학관,대구 중구 북성로1가 48-1,35.8739167064,128.592318396,문화시설_전시관
12,노사평화의 전당,대구광역시 달성군 국가산단대로52길 6,35.6527163436,128.4200285561,문화시설_전시관
13,대구 환경사랑홍보교육관,대구광역시 달서구 성서공단로 40한국환경공단 대구경북환경본부,35.8345247894,128.4873009651,문화시설_전시관
