,명칭,주소,위도,경도,분류
0,관문시장,대구광역시 남구 대명서7길 24-3(대명동),35.8356342966,128.5580002605,쇼핑_상설시장
1,방천시장,대구광역시 중구 달구벌대로446길,35.8621793994,128.6060480689,쇼핑_상설시장
2,영선시장,대구광역시 남구 중앙대로48길 36(대명동),35.8523636026,128.5929717155,쇼핑_상설시장
3,청구시장,대구광역시 수성구 만촌로 66(만촌동),35.8648464663,128.6441057542,쇼핑_상설시장
4,동구시장,대구광역시 동구 화랑로25길 1(효목동),35.8743258754,128.6401113968,쇼핑_상설시장
5,동대구시장,대구광역시 북구 대현로20길 30(대현동),35.8811217563,128.6091167153,쇼핑_상설시장
6,반야월종합시장,대구광역시 동구 율하동로 144(신기동),35.8724411419,128.7030531299,쇼핑_상설시장
7,산격종합시장,대구광역시 북구 동북로 164(산격동),35.8992197322,128.6104799795,쇼핑_상설시장
8,대구광역시수산물도매시장,대구광역시 북구 매천로18길 34(매천동),35.9026514335,128.5430497162,쇼핑_상설시장
9,현풍백년도깨비시장,대구광역시 달성군 현풍읍 현풍로6길 5,35.6947786622,128.4422698921,쇼핑_상설시장
10,대구칠곡시장,대구광역시 북구 칠곡중앙대로 526(읍내동),35.9425303989,128.5512451052,쇼핑_상설시장
11,월배시장,대구광역시 달서구 월배로24길 13(진천동),35.814127835,128.5274257724,쇼핑_상설시장
12,효목시장,대구광역시 동구 아양로50길 22-2(효목동),35.8858245613,128.6394166928,쇼핑_상설시장
13,송라시장,대구광역시 동구 동부로5길 10(신천동),35.87454206,128.6153219078,쇼핑_상설시장
14,서문시장 5지구,대구광역시 중구 큰장로26길 6(대신동),35.8681226635,128.5784975532,쇼핑_상설시장
15,방촌종합시장,대구광역시 동구 동촌로46길 2(방촌동),35.8813671952,128.664428503,쇼핑_상설시장
16,교동시장,대구광역시 중구 동성로 70-17(교동),35.8729974465,128.596687481,쇼핑_상설시장
17,새길시장,대구광역시 서구 달서로4길 17-7(내당동),35.8643951909,128.5721898789,쇼핑_상설시장
18,대평리시장,대구광역시 서구 문화로49길 25(평리동),35.8781239484,128.5589573296,쇼핑_상설시장
19,대구 안지랑시장,대구광역시 남구 대명로36길 19,35.8383454491,128.5769235188,쇼핑_상설시장
