,명칭,주소,위도,경도,분류
0,팔공산온천관광호텔,대구광역시 동구 팔공산로185길 11,35.9910080699,128.6922646449,숙박_관광호텔
1,호텔인터불고 엑스코,대구광역시 북구 유통단지로 80(산격동),35.90699942,128.611213031,숙박_관광호텔
2,호텔 더팔래스,대구광역시 남구 이천로 13,35.8422926057,128.5976188094,숙박_관광호텔
3,대구그랜드호텔,대구광역시 수성구 동대구로 305,35.8576997042,128.6251881746,숙박_관광호텔
4,유니온관광호텔,대구광역시 중구 태평로 117,35.8761358713,128.5907851359,숙박_관광호텔
5,크리스탈관광호텔,대구광역시 달서구 달구벌대로 1910,35.8621232538,128.5737092525,숙박_관광호텔
6,호텔인터불고 대구,대구광역시 수성구 팔현길 212,35.8731069392,128.6601346676,숙박_관광호텔
7,엘디스 리젠트 호텔,대구광역시 중구 달구벌대로 2033,35.8666563022,128.5860997017,숙박_관광호텔
8,AW호텔,대구광역시 달서구 성서로 413,35.8545617663,128.5066959231,숙박_관광호텔
9,호텔 아리아나,대구광역시 수성구 동대구로 27(두산동),35.8327719271,128.6229168461,숙박_관광호텔
10,호텔 라온제나,대구광역시 수성구 범어천로 73(범어동),35.8537167709,128.6224496376,숙박_관광호텔
11,퀸벨호텔,대구광역시 동구 동촌로 200,35.8824698056,128.6621675604,숙박_관광호텔
12,팔공 에밀리아호텔,대구광역시 동구 팔공산로 1121,35.9917135068,128.6901620328,숙박_관광호텔
13,인스타 관광호텔,대구광역시 동구 율암로 164,35.8889837668,128.7058885285,숙박_관광호텔
14,대구 메리어트 호텔,대구광역시 동구 동부로26길 6,35.8753644169,128.6276707967,숙박_관광호텔
15,호텔 노블스테이(노블스테이),대구광역시 중구 국채보상로123길 23(동문동),35.8717253793,128.5972846865,숙박_관광호텔
16,호텔크라페 성서점[한국관광 품질인증/Korea Quality],대구광역시 달서구 성서공단로11길 6-4,35.8354885923,128.488542496,숙박_관광호텔
