,명칭,주소,위도,경도,분류
0,파스타 오띠모,대구광역시 달서구 서당로7길 45-6,35.8547281614,128.4929387981,음식점_서양식
1,미림식당,대구광역시 중구 국채보상로93길 6,35.8708640675,128.5811083574,음식점_서양식
2,스펠바운드,대구광역시 수성구 용학로 106-5(두산동),35.8248061238,128.6208394728,음식점_서양식
3,오스테리아밀즈,대구광역시 수성구 동원로1길 26(범어동),35.8598663744,128.6386702606,음식점_서양식
4,낙희,대구광역시 수성구 충의로 30,35.8642049268,128.6470221819,음식점_서양식
5,앞산주택,대구광역시 남구 현충로1길 16,35.8336654371,128.5776791381,음식점_서양식
6,조밀,대구광역시 중구 달구벌대로 2115-2,35.8655871474,128.595218372,음식점_서양식
7,부케,대구광역시 중구 경상감영길 213(동문동) 2층,35.8718837264,128.5990011973,음식점_서양식
8,노이식탁,대구광역시 남구 대명남로 1881층,35.835393036,128.5785623458,음식점_서양식
9,호어모아,대구광역시 남구 안지랑로5길 88,35.833101388,128.5654885606,음식점_서양식
10,로렐트리 동촌유원지 본점,대구광역시 동구 효동로6길 122,35.8797755284,128.6547294021,음식점_서양식
11,1997 빠리바닷가재,대구광역시 수성구 용학로 84,35.825892076,128.6188868368,음식점_서양식
12,다이닝슬로우라이프,대구광역시 수성구 상록로2길 45,35.8616131496,128.6251797333,음식점_서양식
13,앙뜨레누보,대구광역시 수성구 수성못6길 20,35.827317012,128.6241696658,음식점_서양식
14,뉴욕바닷가재 대구,대구광역시 수성구 용학로 106-7,35.8244394704,128.6193062845,음식점_서양식
15,풀하우스,대구광역시 중구 달구벌대로 2109-21,35.8663453701,128.5938823582,음식점_서양식
16,수다레스토랑,대구광역시 동구 동화사2길 21-10,35.9910887297,128.6983529952,음식점_서양식
17,지오네 키친,대구광역시 남구 현충로 21,35.8347264603,128.5794289544,음식점_서양식
18,센도리,대구광역시 수성구 들안로 38,35.8331606685,128.6172839979,음식점_서양식
19,루미너스,대구광역시 수성구 희망로 2042층,35.8461203838,128.6211138557,음식점_서양식
20,VVT버거 두류점,대구광역시 달서구 야외음악당로53길 64,35.8589956221,128.5623908922,음식점_서양식
21,블루문,대구광역시 동구 파계로 685,35.9940816508,128.634533539,음식점_서양식
22,아트리움,대구광역시 수성구 국채보상로186길 151(범어동),35.8615688724,128.6339650718,음식점_서양식
23,라벨라쿠치나,대구광역시 수성구 무학로 151,35.830605549,128.625261144,음식점_서양식
