,명칭,주소,위도,경도,분류
0,기러기농장가든,대구광역시 군위군 효령면 용매로 788,36.0847289836,128.5957788579,음식점_이색음식점
1,데이라,대구광역시 달서구 서당로9길 47,35.856103007,128.4930054202,음식점_이색음식점
2,푸른회식당,대구광역시 서구 달구벌대로375길 14-1(내당동),35.8622759486,128.5701512285,음식점_이색음식점
3,심야식당 스툴,대구광역시 중구 동성로12길 18(문화동),35.8714115161,128.5967514083,음식점_이색음식점
4,라가,대구광역시 수성구  신매로16길 (45),35.838503435,128.7095312856,음식점_이색음식점
5,사파키친,대구광역시 동구 동부로34길 10,35.8767337661,128.6309038079,음식점_이색음식점
6,촘촘 동촌유원지점,대구광역시 동구 효동로6길 84-82층,35.881308628,128.6514685352,음식점_이색음식점
7,푸나왈라,대구광역시 수성구 수성못2길 33층,35.8259282468,128.6223615297,음식점_이색음식점
8,더커먼,대구광역시 중구 국채보상로 741,35.8686843233,128.611750163,음식점_이색음식점
9,오리엔탈누들서비스,대구광역시 중구 달구벌대로445길 26-18,35.8634820562,128.6075034605,음식점_이색음식점
10,하롱베이,대구광역시 수성구 무학로 97,35.8302971384,128.6191922428,음식점_이색음식점
