,명칭,주소,위도,경도,분류
0,신성회초밥,대구광역시 서구 서대구로 56,35.8629950625,128.5566218448,음식점_일식
1,[백년가게]스미센,대구광역시 동구 동부로30길 15,35.8756616317,128.6290706653,음식점_일식
2,힛또,대구광역시 중구 명덕로 333,35.8558384563,128.606364884,음식점_일식
3,후꾸스시,대구광역시 수성구 동대구로20길 66(지산동),35.8381186367,128.6279079249,음식점_일식
4,기리,대구광역시 수성구 달구벌대로492길 27(범어동),35.8572332382,128.6332152585,음식점_일식
5,쵸이라멘,대구광역시 중구 국채보상로 582 미도빌딩,35.8707226616,128.5943821921,음식점_일식
6,기리,대구광역시 달서구 조암남로 51층,35.8226464053,128.5323167723,음식점_일식
7,대쿠이 본점,대구광역시 남구 중앙대로51길 38-21층,35.8563908424,128.5885164406,음식점_일식
8,산호횟집 진천점,대구광역시 달서구 진천로16길 39 진천맛타운3층,35.8162858906,128.5255980954,음식점_일식
9,민수사,대구광역시 수성구 들안로 19,35.8315469425,128.6162369127,음식점_일식
10,키하루,대구광역시 수성구 청솔로 124-12,35.8572691271,128.6213940763,음식점_일식
11,서민수산회,대구광역시 수성구 달구벌대로641길 7,35.841050331,128.7074702853,음식점_일식
12,고미텐,대구광역시 수성구 동원로 61층,35.8594914514,128.6405506611,음식점_일식
13,금강회초밥,대구광역시 수성구 청수로 115,35.8405737846,128.6208695873,음식점_일식
14,쿄우다이,대구광역시 달서구 월배로46길 72킹스빌 1층,35.8158084062,128.5386441821,음식점_일식
15,아라한참치,대구광역시 수성구 들안로 41,35.8334606145,128.6162229719,음식점_일식
16,온기정,대구광역시 수성구 수성못6길 91층,35.8276558471,128.6233141757,음식점_일식
17,싱싱뽈락회,대구광역시 수성구 수성못2길 17,35.8254810921,128.6232586852,음식점_일식
18,한스시,대구광역시 남구 두류공원로19길 8-41층,35.8447584577,128.5685268582,음식점_일식
19,코시스,대구광역시 달서구 용산로 82,35.8446133421,128.5311579322,음식점_일식
20,내안에,대구광역시 수성구 무학로 85,35.8301665753,128.6179395792,음식점_일식
21,련,대구광역시 북구 동천로 128-15,35.9428500147,128.5624746617,음식점_일식
22,대륙회초밥,대구광역시 수성구 들안로 99,35.8387544598,128.6161950494,음식점_일식
