,명칭,주소,위도,경도,분류
0,[백년가게]광명반점,대구광역시 북구 칠성로 70-1,35.8791550867,128.5969206224,음식점_중식
1,가야성,대구광역시 달서구 월배로83길 7(송현동),35.8314957531,128.551337074,음식점_중식
2,취팔선,대구광역시 달서구 상화로19길 9(진천동),35.8085089613,128.5238762409,음식점_중식
3,유창반점,대구광역시 중구 명륜로 20(남산동),35.8645121489,128.5886856445,음식점_중식
4,진흥반점,대구광역시 남구 이천로28길 43-2(이천동),35.8548467942,128.6005293146,음식점_중식
5,대구짬뽕0304,대구광역시 수성구 달구벌대로 2435 두산위브더제니스,35.8592357139,128.629129451,음식점_중식
6,정담반점,대구광역시 달서구 진천로 11,35.8099838365,128.5261787742,음식점_중식
7,리안,대구광역시 수성구 교학로4길 48(만촌동),35.8553809876,128.6503971306,음식점_중식
8,수봉반점,대구광역시 북구 대현남로2길 60(대현동),35.8782859163,128.6064281427,음식점_중식
9,연경반점,대구광역시 수성구 수성로 222(중동),35.8452508912,128.6131840223,음식점_중식
10,대가웍 본점,대구광역시 달성군 현풍동로29길 5,35.7000503569,128.4460194175,음식점_중식
11,현짬뽕,대구광역시 남구 대봉로 89,35.8470227458,128.6041097726,음식점_중식
12,신신반점수성점,대구광역시 수성구 무학로 111,35.8302971658,128.6206782232,음식점_중식
13,만솥,대구광역시 수성구 동대구로 237,35.8516170455,128.6244356327,음식점_중식
14,칭밍,"대구광역시 수성구 용학로 106-7수성관광호텔 2동 1, 2층",35.8244394704,128.6193062845,음식점_중식
15,홍구원수성점,대구광역시 수성구 동대구로 167,35.8454038485,128.6238664115,음식점_중식
16,홍구원가창점,대구광역시 달성군 가창로176길 9,35.7895242941,128.6366279526,음식점_중식
17,중화반점,대구광역시 중구 중앙대로 406-12(남일동),35.8693172661,128.5944266717,음식점_중식
18,예원,대구광역시 북구 원대로 119,35.8882093493,128.5823855401,음식점_중식
19,촉향원,대구광역시 달서구 달서대로85길 17,35.8371134304,128.4897395676,음식점_중식
20,왕산손짜장,대구광역시 동구 팔공로 368,35.9314638996,128.6427790105,음식점_중식
