,명칭,주소,위도,경도,분류
0,가창옛날찐빵손만두 본점,대구광역시 달성군 가창면 가창로 1099,35.802672541,128.6221844139,음식점_카페
1,호찐빵만두나라,대구광역시 달성군 가창면 가창로 1102,35.8028586357,128.6224621621,음식점_카페
2,커피명가 라핀카,대구광역시 수성구 국채보상로 953-1,35.8676626453,128.6349148183,음식점_카페
3,커피 앤 스토리,대구광역시 동구 팔공산로185길 71,35.9887889108,128.6940839922,음식점_카페
4,제로테이블,대구광역시 수성구 수성로68길 35-8(수성동2가),35.8553886839,128.615941831,음식점_카페
5,비움,대구광역시 북구 침산남로9길 43,35.8923394341,128.5822159956,음식점_카페
6,더 메모리,대구광역시 군위군 산성가음로 711,36.1269482677,128.6955771856,음식점_카페
7,마이커피컬로맨스,대구광역시 중구 동성로4길 93,35.8689451782,128.5994290192,음식점_카페
8,류,대구광역시 중구 동성로4길 91,35.8688285236,128.5993956921,음식점_카페
9,루시드,대구광역시 중구 동성로4길 94,35.8688285283,128.599651225,음식점_카페
10,딜리저트,대구광역시 달서구 중흥로 14송현동,35.8324290537,128.5552922552,음식점_카페
11,[백년가게]밀밭베이커리,대구광역시 중구 국채보상로 602-1,35.8704755085,128.5966153358,음식점_카페
12,[백년가게]햇님베이커리,대구광역시 중구 달구벌대로389길 70,35.866300599,128.5758811671,음식점_카페
13,금강역 레일카페(반야월연꽃마을협동조합),대구광역시 동구 금강로 153,35.8626567704,128.7371892881,음식점_카페
14,빌리웍스,대구광역시 북구 고성북로10길 41(고성동3가),35.8831850318,128.5885268055,음식점_카페
15,카페담,대구광역시 달성군 유가읍 유가사2길 15,35.7149524387,128.5000725841,음식점_카페
16,대화의장,대구광역시 중구 북성로 104-15,35.8738334166,128.5941682353,음식점_카페
17,퀸즈크라운베이커리카페,대구광역시 서구 서대구로 118(평리동)퀸즈크라운베이커리카페,35.8685499711,128.5556412216,음식점_카페
18,아눅앞산,대구광역시 남구 앞산순환로 459(대명동),35.8323072121,128.5752071709,음식점_카페
19,산엘아르카,대구광역시 달성군 유가읍 휴양림길 416,35.7021426892,128.4953427971,음식점_카페
20,데우스커피,대구광역시 수성구 동대구로14길 15-6(지산동) 2층,35.8372936811,128.6252526257,음식점_카페
21,보스턴커피(보스턴),대구광역시 동구 방촌로 58(검사동),35.8854388643,128.6594454952,음식점_카페
22,부바스(본점),대구광역시 수성구 무학로 152(두산동),35.8299556214,128.6252056122,음식점_카페
23,무화커피,대구광역시 수성구 국채보상로186길 81(범어동) 2층,35.8647574058,128.6342649565,음식점_카페
24,텀트리프로젝트,대구광역시 수성구 용학로 138(두산동),35.8236368725,128.6241586578,음식점_카페
25,퍼피80,대구광역시 동구 서촌로7길 7-3(덕곡동),35.9791082335,128.6283095078,음식점_카페
26,커피플라자,대구광역시 남구 앞산순환로87길 49(대명동),35.8328209994,128.5728712513,음식점_카페
27,더크,대구광역시 남구 안골길 42(대명동),35.8369539358,128.576701355,음식점_카페
28,트룰리베이커,대구광역시 중구  봉산문화1길 (32),35.8632263733,128.5990042157,음식점_카페
29,두낫디스터브 비슬산,대구광역시 달성군 휴양림길 670,35.7002702406,128.4714143985,음식점_카페
30,리틀맨리,대구광역시 군위군 창평길 25-3,36.0991786371,128.6654500754,음식점_카페
31,카페댐댐,대구광역시 군위군 삼국유사로 438-16,36.1233061006,128.7954573601,음식점_카페
32,카페스톤,대구광역시 군위군 한티로 1525-6,36.0299191839,128.6307495338,음식점_카페
33,카페우즈,대구광역시 군위군 한티로 2036,36.0498951726,128.6564717016,음식점_카페
34,헤이마,대구광역시 동구 파계로 583,35.9820996864,128.6351282671,음식점_카페
35,피카커피,대구광역시 북구 학정로110길 24-1,35.9524601225,128.5671462033,음식점_카페
36,83커피바,대구광역시 중구 북성로 83,35.8743805287,128.5915545615,음식점_카페
37,까사드테하,대구광역시 달성군 녹문길 16-11,35.735469702,128.6588052798,음식점_카페
38,stay550,대구광역시 달성군 성화로 501층,35.8009647012,128.4873907742,음식점_카페
39,곳 카페,대구광역시 동구 팔공로 525,35.9450568734,128.6465394101,음식점_카페
40,카페멜트,대구광역시 북구 공항로 89,35.9000365704,128.6247981393,음식점_카페
41,롤러커피,대구광역시 중구 달구벌대로414길 36,35.8645538214,128.5892939232,음식점_카페
42,포켓,대구광역시 수성구 수성못길 20,35.8266781604,128.6222642951,음식점_카페
43,NOT ONLY COFFEE URBAN DELI,대구광역시 수성구 용학로 106-7,35.8244394704,128.6193062845,음식점_카페
44,게이블루프커피,대구광역시 달성군 강정본길 77,35.8423623562,128.4635722847,음식점_카페
45,대새목장,대구광역시 달성군 가창로93길 523,35.7459286871,128.607528943,음식점_카페
46,카르멜,대구광역시 달성군 달구벌대로 616,35.8501472812,128.4469735323,음식점_카페
47,카페공가,대구광역시 달성군 주리1길 52-5,35.7579891481,128.6462585357,음식점_카페
48,오르다카페,대구광역시 남구 안지랑로 11,35.8323321358,128.5712103002,음식점_카페
49,베를린 에스프레소 바,대구광역시 달서구 미리샘길 821층,35.8077316489,128.5444438953,음식점_카페
50,카페 엠엔티,대구광역시 달서구 조암남로14길 52-2,35.8231212354,128.5259950934,음식점_카페
